"Feature"	"Mean.Timberlake_Field(n=5)"	"Mean.Timberlake_Lab(n=18)"	"StdErr.Timberlake_Field(n=5)"	"StdErr.Timberlake_Lab(n=18)"	"MWTest.UStat"	"MWTest.Pval"	"MWTest.adjPval"	"3300017993.Timberlake_Field"	"3300017994.Timberlake_Field"	"3300017930.Timberlake_Field"	"3300017936.Timberlake_Field"	"3300017927.Timberlake_Field"	"3300017822.Timberlake_Lab"	"3300017821.Timberlake_Lab"	"3300017937.Timberlake_Lab"	"3300018001.Timberlake_Lab"	"3300018006.Timberlake_Lab"	"3300017823.Timberlake_Lab"	"3300017995.Timberlake_Lab"	"3300017932.Timberlake_Lab"	"3300017926.Timberlake_Lab"	"3300017928.Timberlake_Lab"	"3300017942.Timberlake_Lab"	"3300018007.Timberlake_Lab"	"3300017924.Timberlake_Lab"	"3300017934.Timberlake_Lab"	"3300017933.Timberlake_Lab"	"3300017943.Timberlake_Lab"	"3300018012.Timberlake_Lab"	"3300017955.Timberlake_Lab"
"pfam15294"	"0.6"	"0"	"0.6"	"0"	"54"	"0.0731397996589089"	"0.195692298687256"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"pfam15341"	"0"	"0.111111111111111"	"0"	"0.111111111111111"	"42.5"	"0.673289979659996"	"0.74521387741079"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"pfam15345"	"0"	"0.5"	"0"	"0.5"	"42.5"	"0.673289979659996"	"0.74521387741079"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"pfam15391"	"0"	"0.222222222222222"	"0"	"0.222222222222222"	"42.5"	"0.673289979659996"	"0.74521387741079"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"
"pfam15402"	"0"	"0.111111111111111"	"0"	"0.111111111111111"	"42.5"	"0.673289979659996"	"0.74521387741079"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"
"pfam15409"	"0"	"0.333333333333333"	"0"	"0.242535625036333"	"40"	"0.492778130690203"	"0.669435894685097"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"2"	"0"	"0"	"0"	"0"
"pfam15411"	"0"	"0.166666666666667"	"0"	"0.166666666666667"	"42.5"	"0.673289979659996"	"0.74521387741079"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"
"pfam15416"	"0"	"0.611111111111111"	"0"	"0.611111111111111"	"42.5"	"0.673289979659996"	"0.74521387741079"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"11"	"0"
"pfam15420"	"21.6"	"114.722222222222"	"10.1024749442896"	"17.9921561623293"	"10"	"0.0101079702243558"	"0.0489791444594899"	"30"	"57"	"12"	"9"	"0"	"64"	"92"	"232"	"139"	"38"	"24"	"56"	"199"	"228"	"182"	"232"	"96"	"141"	"16"	"74"	"102"	"4"	"146"
"pfam15428"	"0.6"	"1.83333333333333"	"0.6"	"0.531676347566912"	"30.5"	"0.255008204859837"	"0.478209108511919"	"0"	"0"	"0"	"3"	"0"	"3"	"0"	"0"	"0"	"2"	"0"	"2"	"2"	"0"	"0"	"2"	"2"	"2"	"0"	"0"	"8"	"5"	"5"
"pfam15458"	"0"	"0.333333333333333"	"0"	"0.180775381515547"	"37.5"	"0.371536677547844"	"0.585899404211635"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"0"
"pfam15460"	"0"	"0.111111111111111"	"0"	"0.111111111111111"	"42.5"	"0.673289979659996"	"0.74521387741079"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"
"pfam15469"	"0"	"0.111111111111111"	"0"	"0.111111111111111"	"42.5"	"0.673289979659996"	"0.74521387741079"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"
"pfam15471"	"0"	"1"	"0"	"0.498363334397601"	"35"	"0.283973167200284"	"0.508251748501558"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"0"	"4"	"0"
"pfam15508"	"0.6"	"0"	"0.6"	"0"	"54"	"0.0731397996589089"	"0.195692298687256"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"pfam15511"	"0.8"	"0.111111111111111"	"0.8"	"0.111111111111111"	"52"	"0.321812576232245"	"0.551892705326942"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"pfam15514"	"0"	"0.777777777777778"	"0"	"0.439515148456325"	"37.5"	"0.372918601576323"	"0.585899404211635"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"6"
"pfam15515"	"4.6"	"4.11111111111111"	"2.48193472919817"	"1.12572094223953"	"44"	"0.969851678467894"	"0.969927947949772"	"0"	"2"	"2"	"14"	"5"	"0"	"3"	"20"	"2"	"5"	"0"	"2"	"4"	"0"	"4"	"2"	"9"	"3"	"5"	"0"	"9"	"3"	"3"
"pfam15520"	"0"	"1.61111111111111"	"0"	"0.809013313708399"	"35"	"0.283973167200284"	"0.508251748501558"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"0"	"3"	"0"	"0"	"11"	"0"	"0"	"9"	"0"
"pfam15521"	"2"	"5.55555555555556"	"1.37840487520902"	"2.20993334152898"	"39.5"	"0.67199268955563"	"0.74521387741079"	"7"	"0"	"3"	"0"	"0"	"8"	"0"	"0"	"12"	"0"	"5"	"12"	"0"	"0"	"0"	"16"	"0"	"0"	"0"	"0"	"36"	"0"	"11"
