Sequence_ID	sample_name
ASV_108557	+ASW_3_D1
ASV_108559	+ASW-SO4_4_D1
ASV_108560	+ASW_3_D1
ASV_108562	Control_3_D2
ASV_108567	Field_36_D1
ASV_108570	Field_10_D1
ASV_108574	+ASW-SO4_2_D2
ASV_108580	Field_10_D1
ASV_108583	Field_19_D1
ASV_108584	Field_10_D1
ASV_108588	Field_43_D1
ASV_108591	Field_46_D1
ASV_108592	Field_10_D1
ASV_108607	Control_4_D2
ASV_108609	+ASW_4_D1
ASV_10861	Field_10_D1
ASV_108615	+SO4_3_D1
ASV_108616	+ASW-SO4_5_D1
ASV_108619	Field_10_D1
ASV_10862	Field_10_D1
ASV_108626	Field_36_D1
ASV_108627	Field_10_D1
ASV_108628	Field_19_D1
ASV_108634	Control_3_D2
ASV_108637	+ASW_3_D2
ASV_108643	+ASW_3_D1
ASV_108649	Field_43_D1
ASV_108655	Field_19_D1
ASV_108658	+ASW_3_D1
ASV_108660	Field_36_D2
ASV_108664	Field_10_D2
ASV_108666	Field_19_D2
ASV_108668	+ASW-SO4_5_D2
ASV_108669	Field_43_D1
ASV_108672	Field_36_D1
ASV_108674	Field_36_D1
ASV_108675	Field_36_D1
ASV_108677	Field_19_D1
ASV_108679	Field_10_D1
ASV_108683	+ASW_1_D2
ASV_108692	Control_4_D1
ASV_108693	Field_10_D1
ASV_1087	Field_10_D1
ASV_108702	Field_43_D2
ASV_108704	Field_10_D1
ASV_108709	Field_46_D1
ASV_108715	Control_4_D2
ASV_108716	Field_10_D2
ASV_108719	Field_19_D1
ASV_108726	Field_10_D1
ASV_108733	Field_19_D1
ASV_108739	Field_10_D1
ASV_108740	Field_36_D1
ASV_108742	+ASW_4_D1
ASV_108743	+ASW_3_D1
ASV_108744	+ASW_4_D1
ASV_108750	Field_46_D1
ASV_108759	Field_36_D1
ASV_10876	Field_10_D1
ASV_108760	Field_19_D1
ASV_10877	Field_19_D2
ASV_108781	Control_3_D1
ASV_108784	Field_36_D1
ASV_108785	Field_36_D1
ASV_108793	Field_43_D1
ASV_108797	Control_1_D2
ASV_108798	Field_19_D1
ASV_108800	Field_10_D1
ASV_108804	Field_10_D1
ASV_108807	Field_19_D1
ASV_108811	Field_10_D1
ASV_108823	Field_10_D1
ASV_108824	Field_36_D1
ASV_108830	Field_36_D1
ASV_108841	Field_10_D1
ASV_108843	Field_10_D1
ASV_108845	Field_10_D1
ASV_108848	+SO4_4_D1
ASV_108858	+SO4_3_D1
ASV_108871	Field_36_D1
ASV_108874	Field_36_D1
ASV_108875	Field_10_D1
ASV_108877	Control_5_D1
ASV_108878	Field_10_D1
ASV_108881	+ASW-SO4_5_D1
ASV_108883	Field_46_D1
ASV_108907	+SO4_3_D1
ASV_108908	Field_10_D2
ASV_108923	Field_36_D1
ASV_108944	+ASW_1_D2
ASV_108947	Field_19_D1
ASV_108955	+SO4_3_D1
ASV_108957	Field_36_D1
ASV_108961	Field_10_D1
ASV_108963	Field_19_D1
